amplitude_perturbacao,estrategia,conclusao_informacional,valor_entregue,aceitacoes_degradadas,conflitos_consenso,episodios
0.0000,central_global_rlnc,0.8958333333,0.8974457085,0.0054533288,0.0000000000,600
0.0000,gulosa_distribuida,0.5207870370,0.5193135349,0.1648020911,0.0000000000,600
0.0000,leilao_distribuido,0.4500000000,0.4505697406,0.5327199304,0.0381635802,600
0.0000,leilao_resiliente_sem_codigo,0.6997222222,0.7065328510,0.1073988220,0.0379269547,600
0.0000,carma_rlnc_adaptativa,0.8785185185,0.8810124056,0.1080294542,0.0314120370,600
0.1500,central_global_rlnc,0.8876851852,0.8903821637,0.0073061754,0.0000000000,600
0.1500,gulosa_distribuida,0.5152314815,0.5142766293,0.1671621386,0.0000000000,600
0.1500,leilao_distribuido,0.4300462963,0.4198559398,0.6219982301,0.0426208848,600
0.1500,leilao_resiliente_sem_codigo,0.7183796296,0.7201303991,0.0220327534,0.0429036439,600
0.1500,carma_rlnc_adaptativa,0.8814814815,0.8845819717,0.0212522336,0.0341482087,600
0.3000,central_global_rlnc,0.8865740741,0.8888048564,0.0061716626,0.0000000000,600
0.3000,gulosa_distribuida,0.5070833333,0.5070817413,0.1660609828,0.0000000000,600
0.3000,leilao_distribuido,0.4062962963,0.4033961747,0.6710608489,0.0424665638,600
0.3000,leilao_resiliente_sem_codigo,0.7151851852,0.7157556268,0.0176906341,0.0421887860,600
0.3000,carma_rlnc_adaptativa,0.8795833333,0.8812251701,0.0166770537,0.0331666667,600
0.4500,central_global_rlnc,0.8877314815,0.8895282145,0.0061023497,0.0000000000,600
0.4500,gulosa_distribuida,0.5111574074,0.5104788219,0.1654429698,0.0000000000,600
0.4500,leilao_distribuido,0.4070833333,0.4043977248,0.6870964471,0.0429038066,600
0.4500,leilao_resiliente_sem_codigo,0.7150462963,0.7185159510,0.0175546660,0.0424362140,600
0.4500,carma_rlnc_adaptativa,0.8770833333,0.8794905541,0.0178732006,0.0336512346,600
